,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
27,Hualmay,-11.0964,-77.6139,61.43,86,97,10.71,PE,1631499169
28,Yellowknife,62.456,-114.3525,52.32,100,75,4.61,CA,1631499170
29,Kloulklubed,7.0419,134.2556,86.5,76,100,17.18,PW,1631499170
30,Jacaraú,-6.6122,-35.2928,68.86,95,16,7.36,BR,1631499171
31,Carnarvon,-24.8667,113.6333,68.52,35,0,13.91,AU,1631499171
32,Birjand,32.8663,59.2211,59.83,22,0,6.85,IR,1631499171
33,Viamão,-30.0811,-51.0233,68.74,84,0,9.22,BR,1631499172
34,Srednekolymsk,67.45,153.6833,53.69,40,99,14.81,RU,1631499172
35,Mar del Plata,-38.0023,-57.5575,44.62,100,36,0.0,AR,1631499172
36,Thompson,55.7435,-97.8558,43.99,67,100,6.73,CA,1631499173
37,Vaini,-21.2,-175.2,78.96,83,40,10.36,TO,1631499173
38,Gilgit,35.9221,74.3087,71.62,56,3,1.59,PK,1631499173
39,Busselton,-33.65,115.3333,61.05,68,18,5.17,AU,1631499174
40,Ambilobe,-13.2,49.05,68.45,75,55,3.06,MG,1631499174
41,Pimentel,-6.8367,-79.9342,62.92,86,100,14.12,PE,1631499174
42,Privolzhye,52.8649,48.6044,57.87,80,95,5.75,RU,1631499175
43,Zaysan,47.4667,84.8667,54.88,57,96,4.29,KZ,1631499175
44,Mataura,-46.1927,168.8643,44.47,91,85,9.19,NZ,1631499175
45,Punta Arenas,-53.15,-70.9167,37.51,70,0,20.71,CL,1631499176
46,Kaitangata,-46.2817,169.8464,48.99,70,46,13.96,NZ,1631499176
47,Manhattan,40.7834,-73.9662,75.99,66,1,5.75,US,1631499023
48,Bandarbeyla,9.4942,50.8122,78.6,68,11,26.57,SO,1631499177
49,Fortuna,40.5982,-124.1573,59.22,61,49,1.01,US,1631499177
50,Buin,-33.7333,-70.75,51.84,83,100,0.49,CL,1631499177
51,Raudeberg,61.9875,5.1352,46.63,78,100,9.93,NO,1631499178
52,Bambous Virieux,-20.3428,57.7575,66.22,77,16,22.06,MU,1631499178
53,Hermanus,-34.4187,19.2345,52.9,68,71,3.38,ZA,1631499179
54,Saint Stephen,50.3333,-4.9,58.91,94,75,8.05,GB,1631499179
55,Los Llanos de Aridane,28.6585,-17.9182,70.12,81,75,4.61,ES,1631499179
56,Beringovskiy,63.05,179.3167,35.92,86,85,22.19,RU,1631499137
57,Kysyl-Syr,63.8986,122.7617,60.33,54,64,7.02,RU,1631499180
58,Cabedelo,-6.9811,-34.8339,75.87,86,26,12.82,BR,1631499180
59,East London,-33.0153,27.9116,66.09,71,97,9.01,ZA,1631499180
60,Jalu,29.0331,21.5482,76.57,70,2,8.41,LY,1631499181
61,Nanortalik,60.1432,-45.2371,37.33,75,7,48.79,GL,1631499181
62,Kaeo,-35.1,173.7833,64.33,64,59,13.58,NZ,1631499181
63,Inuvik,68.3499,-133.7218,48.94,74,100,7.58,CA,1631499182
64,Cabo San Lucas,22.8909,-109.9124,82.45,81,1,5.01,MX,1631498955
65,Palmares do Sul,-30.2578,-50.5097,66.63,85,49,13.38,BR,1631499183
66,Bredasdorp,-34.5322,20.0403,51.57,78,93,2.84,ZA,1631499183
67,Koson,39.0375,65.585,63.95,23,0,6.17,UZ,1631499183
68,Balestrand,61.2076,6.5334,45.0,96,100,4.36,NO,1631499184
69,Kruisfontein,-34.0033,24.7314,55.89,93,100,7.36,ZA,1631499184
70,Puerto Ayora,-0.7393,-90.3518,68.56,94,44,3.0,EC,1631499184
71,Kargasok,59.0556,80.8572,40.33,97,100,13.22,RU,1631499185
72,São Filipe,14.8961,-24.4956,78.8,80,91,8.37,CV,1631499185
73,Arraial do Cabo,-22.9661,-42.0278,70.81,92,1,11.32,BR,1631499185
74,Butaritari,3.0707,172.7902,83.66,72,27,21.32,KI,1631499186
75,Katsuura,35.1333,140.3,80.71,79,100,13.11,JP,1631499186
76,Qaanaaq,77.484,-69.3632,25.16,60,100,7.38,GL,1631499186
77,Talnakh,69.4865,88.3972,47.55,71,100,5.32,RU,1631499187
78,Saint-Philippe,-21.3585,55.7679,66.06,82,41,17.18,RE,1631499187
79,Quelimane,-17.8786,36.8883,67.95,94,40,0.0,MZ,1631499188
80,Yima,34.7381,111.8839,76.87,75,4,7.45,CN,1631499188
81,La Flèche,47.6982,-0.0755,57.42,82,42,6.38,FR,1631499189
82,Bathsheba,13.2167,-59.5167,80.06,95,100,6.85,BB,1631499189
83,Lexington,37.9887,-84.4777,71.74,75,1,8.05,US,1631499050
84,Hashtrūd,37.4779,47.0508,56.84,48,0,2.55,IR,1631499190
85,Lagoa,39.05,-27.9833,68.83,77,94,20.49,PT,1631499190
86,Marawi,7.9986,124.2928,73.65,61,100,0.63,PH,1631499190
87,Sitka,57.0531,-135.33,57.09,77,75,8.05,US,1631499190
88,San Quintín,30.4833,-115.95,73.27,74,0,11.05,MX,1631499191
89,Aklavik,68.2191,-135.0107,47.62,81,100,3.76,CA,1631499191
90,Les Cayes,18.2,-73.75,79.36,80,100,5.14,HT,1631499192
91,Ancud,-41.8697,-73.8203,40.53,82,83,8.84,CL,1631499192
92,Guerrero Negro,27.9769,-114.0611,75.45,79,0,14.76,MX,1631499192
93,Grants Pass,42.439,-123.3284,80.94,29,1,11.5,US,1631499193
94,Härnösand,62.6323,17.9379,46.56,74,4,19.8,SE,1631499193
95,Lingyuan,41.24,119.4011,70.3,63,100,9.55,CN,1631499193
96,Soe,-9.8607,124.284,84.99,38,19,5.64,ID,1631499194
97,Barrow,71.2906,-156.7887,42.82,81,90,10.36,US,1631499194
98,Bethel,41.3712,-73.414,73.36,83,29,6.76,US,1631499184
99,Hobart,-42.8794,147.3294,48.81,72,75,1.99,AU,1631498899
100,Praia da Vitória,38.7333,-27.0667,69.76,77,98,20.71,PT,1631499195
101,Talaya,61.3833,152.75,48.7,35,33,7.14,RU,1631499195
102,Lázaro Cárdenas,17.9583,-102.2,79.34,85,94,1.81,MX,1631499195
103,Hithadhoo,-0.6,73.0833,83.23,72,74,9.57,MV,1631499195
104,Leningradskiy,69.3833,178.4167,30.43,90,100,6.42,RU,1631499196
105,Tiksi,71.6872,128.8694,50.63,55,19,6.82,RU,1631499196
106,Totness,5.8833,-56.3167,79.0,81,3,9.66,SR,1631499197
107,Nantucket,41.2835,-70.0995,70.75,92,1,11.5,US,1631499161
108,Pucallpa,-8.3791,-74.5539,77.04,94,20,1.14,PE,1631499197
109,Masumbwe,-3.6333,32.1833,71.44,45,97,9.19,TZ,1631499198
110,Eureka,40.8021,-124.1637,58.64,79,34,1.99,US,1631498985
111,Alofi,-19.0595,-169.9187,77.23,81,6,16.42,NU,1631499198
112,Benguela,-12.5763,13.4055,71.49,89,11,4.65,AO,1631499199
113,Burnie,-41.0667,145.9167,52.43,53,8,5.77,AU,1631499199
114,Morondava,-20.2833,44.2833,76.01,76,100,14.9,MG,1631499199
115,Khatanga,71.9667,102.5,50.5,51,16,8.55,RU,1631499200
116,Auki,-8.7676,160.7034,87.17,60,12,3.83,SB,1631499200
117,Tasiilaq,65.6145,-37.6368,42.96,74,100,26.78,GL,1631499200
118,Kharagpur,22.3333,87.3333,78.08,97,100,11.9,IN,1631499201
119,Mongoumba,3.6415,18.5936,69.26,98,100,2.66,CF,1631499201
120,Klaksvík,62.2266,-6.589,52.72,90,100,7.05,FO,1631499201
121,Sulangan,11.1373,123.7228,84.11,72,99,8.41,PH,1631499201
122,Zhigansk,66.7697,123.3711,54.55,48,62,14.54,RU,1631499202
123,Pullman,46.7313,-117.1796,66.61,49,1,4.61,US,1631498904
124,Atar,20.5169,-13.0499,91.81,33,18,4.99,MR,1631499202
125,Ibrā’,22.6906,58.5334,83.14,53,100,1.59,OM,1631499203
126,Jardim,-21.4803,-56.1381,87.39,32,100,6.91,BR,1631499044
127,Clyde River,70.4692,-68.5914,29.16,73,8,3.22,CA,1631499203
128,Kirakira,-10.4544,161.9205,85.03,70,6,10.49,SB,1631499203
129,San Patricio,28.017,-97.5169,79.95,78,100,11.5,US,1631499204
130,Miramar,25.9873,-80.2323,82.18,87,1,4.61,US,1631499204
131,Olinda,-8.0089,-34.8553,76.73,73,75,12.66,BR,1631499204
132,Poretskoye,55.1974,46.3291,52.81,86,20,5.21,RU,1631499205
133,Richards Bay,-28.783,32.0377,63.1,78,0,6.64,ZA,1631499205
134,Port Alfred,-33.5906,26.891,63.59,86,100,10.4,ZA,1631499205
135,Baykit,61.67,96.37,49.41,91,100,10.18,RU,1631499206
136,Saint Paul Harbor,57.79,-152.4072,51.04,76,2,23.96,US,1631498953
137,Lata,40.1629,-8.3327,64.81,81,100,2.75,PT,1631499206
138,Ostrovnoy,68.0531,39.5131,36.57,83,32,6.73,RU,1631499207
139,Lüderitz,-26.6481,15.1594,56.62,82,96,16.35,NA,1631499207
140,Puerto Colombia,10.9878,-74.9547,80.69,82,100,6.51,CO,1631499207
141,Irmo,34.086,-81.1832,70.14,79,1,0.0,US,1631499208
142,Vitré,48.1178,-1.2058,53.65,76,79,7.7,FR,1631499208
143,Cherskiy,68.75,161.3,47.07,46,98,14.9,RU,1631499208
144,Severo-Kuril'sk,50.6789,156.125,48.63,96,100,24.25,RU,1631499209
145,Fare,-16.7,-151.0167,77.97,69,1,14.58,PF,1631499209
146,Ahipara,-35.1667,173.1667,61.57,64,15,14.36,NZ,1631499209
147,Pisco,-13.7,-76.2167,60.85,82,88,13.8,PE,1631499209
148,Dikson,73.5069,80.5464,40.28,83,98,11.01,RU,1631499210
149,Puerto Escondido,15.85,-97.0667,75.31,94,100,5.57,MX,1631499210
150,Hasaki,35.7333,140.8333,79.2,70,100,14.94,JP,1631499211
151,Lebu,-37.6167,-73.65,47.93,82,100,12.15,CL,1631499211
152,Vila Franca do Campo,37.7167,-25.4333,68.41,85,91,18.9,PT,1631499211
153,Beroroha,-21.6667,45.1667,69.3,56,49,7.56,MG,1631499212
154,Salinópolis,-0.6136,-47.3561,79.16,82,100,9.51,BR,1631499212
155,Kuril'sk,45.2333,147.8833,59.22,88,97,17.78,RU,1631499212
156,Hongjiang,27.11,109.9956,84.85,61,15,3.33,CN,1631499213
157,Shenjiamen,29.9576,122.298,79.0,90,100,46.51,CN,1631499213
158,Ongandjera,-17.8833,15.0667,63.91,35,0,9.15,NA,1631499213
159,Mahébourg,-20.4081,57.7,66.25,77,19,22.15,MU,1631499214
160,Umm Kaddadah,13.6017,26.6876,77.23,63,100,7.47,SD,1631499214
161,Saint-Louis,16.3333,-15.0,86.31,59,9,14.23,SN,1631499214
162,Marsá Maţrūḩ,31.3525,27.2453,77.16,79,0,13.13,EG,1631499215
163,Havelock,34.8791,-76.9013,72.41,79,0,5.55,US,1631499215
164,Agadez,19.75,10.25,85.21,14,71,7.09,NE,1631499215
165,Tuktoyaktuk,69.4541,-133.0374,43.48,93,100,5.66,CA,1631499216
166,Narsaq,60.9167,-46.05,41.22,54,0,24.36,GL,1631499216
167,Kapaa,22.0752,-159.319,79.88,68,40,3.0,US,1631499216
168,New Norfolk,-42.7826,147.0587,48.22,59,84,1.99,AU,1631499217
169,Faanui,-16.4833,-151.75,78.58,68,7,15.03,PF,1631499217
170,Ust-Maya,60.4167,134.5333,63.77,42,4,3.53,RU,1631499217
171,Plettenberg Bay,-34.0527,23.3716,55.94,88,100,6.26,ZA,1631499218
172,Zyryanka,65.75,150.85,55.09,39,35,5.26,RU,1631499136
173,Norman Wells,65.282,-126.8329,50.2,71,100,10.67,CA,1631499218
174,Kuito,-12.3833,16.9333,56.95,43,11,1.97,AO,1631499218
175,Port Blair,11.6667,92.75,82.56,79,95,18.68,IN,1631499219
176,Kansanshi,-12.0951,26.4273,59.49,50,25,4.5,ZM,1631499219
177,Verkh-Usugli,52.7,115.1667,54.18,73,4,1.52,RU,1631499220
178,Broome,42.2506,-75.833,71.24,73,100,1.01,US,1631499220
179,Evensk,61.95,159.2333,47.88,38,39,3.22,RU,1631499137
180,Terralba,39.7192,8.6392,67.89,79,40,2.15,IT,1631499221
181,Lavaca,28.615,-96.6261,79.09,83,40,10.36,US,1631499221
182,Russell,32.3502,-85.1999,72.54,89,1,0.0,US,1631499221
183,Dalaba,10.7,-12.25,62.06,99,100,3.31,GN,1631499222
184,Riyadh,24.6877,46.7219,77.14,20,4,3.06,SA,1631499195
185,Singaraja,-8.112,115.0882,77.99,86,100,6.55,ID,1631499222
186,Balkhash,46.844,74.9804,45.21,45,0,11.18,KZ,1631499222
187,Ponta do Sol,32.6667,-17.1,71.44,78,100,11.05,PT,1631499223
188,Banda Aceh,5.5577,95.3222,82.63,68,100,13.38,ID,1631499223
189,Upernavik,72.7868,-56.1549,35.35,77,91,32.48,GL,1631499223
190,Laranjeiras do Sul,-25.4078,-52.4161,66.52,65,3,4.79,BR,1631499224
191,Dunedin,-45.8742,170.5036,53.8,50,64,17.0,NZ,1631499014
192,Pacific Grove,36.6177,-121.9166,59.9,87,1,3.0,US,1631499224
193,La Palma,33.8464,-118.0467,77.31,58,1,5.01,US,1631499035
194,Kindu,-2.95,25.95,68.2,98,60,0.92,CD,1631499224
195,Hyères,43.1167,6.1167,65.5,77,0,3.44,FR,1631499225
196,Isangel,-19.55,169.2667,82.51,65,20,13.8,VU,1631499225
197,Padang,-0.9492,100.3543,78.85,85,100,2.98,ID,1631499226
198,Vanimo,-2.6741,141.3028,86.7,66,95,6.62,PG,1631499226
199,Ust-Nera,64.5667,143.2,56.35,42,8,3.09,RU,1631499226
200,Nikolskoye,59.7035,30.7861,58.89,97,100,6.46,RU,1631499227
201,Shetpe,44.1667,52.1167,66.51,25,37,12.91,KZ,1631499227
202,Alice Springs,-23.7,133.8833,63.95,29,5,18.41,AU,1631499228
203,Merauke,-8.4667,140.3333,84.13,68,36,10.74,ID,1631499228
204,Vestmannaeyjar,63.4427,-20.2734,53.46,93,100,37.78,IS,1631499228
205,Kulhudhuffushi,6.6221,73.07,82.87,76,99,13.56,MV,1631499229
206,Conceição do Castelo,-20.3683,-41.2439,67.3,63,6,3.27,BR,1631499229
207,Cayenne,4.9333,-52.3333,82.09,83,0,1.99,GF,1631499229
208,Airai,-8.9266,125.4092,77.05,40,86,3.27,TL,1631499230
209,Troitskoye,52.9821,84.6757,46.26,60,100,10.07,RU,1631499230
210,Tuatapere,-46.1333,167.6833,44.82,80,69,13.13,NZ,1631499230
211,Armidale,-30.5167,151.65,61.81,42,0,14.81,AU,1631499231
212,Avera,33.194,-82.5271,69.39,54,0,1.48,US,1631499231
213,Araouane,18.9048,-3.5265,97.68,12,99,7.78,ML,1631499231
214,Carutapera,-1.195,-46.02,76.57,85,55,5.91,BR,1631499232
215,Baní,18.2833,-70.3333,77.86,73,100,10.94,DO,1631499232
216,Ugoofaaru,5.6667,73.0,82.67,76,100,11.77,MV,1631499232
217,Peniche,39.3558,-9.3811,67.48,91,100,10.4,PT,1631499233
218,Cradock,-32.1642,25.6192,55.15,86,2,5.82,ZA,1631499233
219,Bratsk,56.1325,101.6142,55.89,60,96,5.26,RU,1631499233
220,Omaruru,-21.4333,15.9333,62.37,42,4,2.68,NA,1631499234
221,Khovd,48.0056,91.6419,58.98,29,5,10.2,MN,1631499234
222,Fuerte Olimpo,-21.0415,-57.8738,96.55,25,85,11.23,PY,1631499234
223,Toribío,2.9548,-76.2684,60.26,92,60,4.21,CO,1631499235
224,‘Āhuimanu,21.4447,-157.8378,82.53,62,20,11.5,US,1631499235
225,Chokurdakh,70.6333,147.9167,54.48,48,38,13.06,RU,1631499235
226,Longyearbyen,78.2186,15.6401,35.44,75,0,11.5,SJ,1631499236
227,Port Elizabeth,-33.918,25.5701,58.1,87,100,9.64,ZA,1631499236
228,City of San Pedro,14.35,121.0167,85.59,75,100,1.83,PH,1631499236
229,Siwāna,25.6333,72.4167,83.3,74,100,5.08,IN,1631499237
230,Caravelas,-17.7125,-39.2481,71.94,87,0,5.59,BR,1631499237
231,Belmonte,-15.8631,-38.8828,75.7,85,0,5.26,BR,1631499237
232,Mbekenyera,-10.0,38.9833,69.48,77,85,1.1,TZ,1631499238
233,Sinnamary,5.3833,-52.95,78.44,87,6,8.14,GF,1631499238
234,Horta,38.5333,-28.6333,68.68,75,95,19.53,PT,1631499238
235,Chunskiy,56.0815,99.6342,51.01,92,100,9.13,RU,1631499239
236,Panacan,9.2463,118.4082,82.4,79,96,9.28,PH,1631499239
237,Bay Roberts,47.5999,-53.2648,55.13,91,81,1.01,CA,1631499239
238,Santa Marta,11.2408,-74.199,80.98,78,100,5.01,CO,1631499240
239,Sambava,-14.2667,50.1667,71.08,88,58,13.76,MG,1631499240
240,Lichinga,-13.3128,35.2406,59.14,71,45,9.82,MZ,1631499240
241,Omboué,-1.5746,9.2618,75.65,88,99,5.93,GA,1631499241
242,Dingle,10.9995,122.6711,84.42,75,100,3.2,PH,1631499241
243,Qasigiannguit,68.8193,-51.1922,32.25,95,100,9.91,GL,1631499241
244,West Wendover,40.7391,-114.0733,79.81,32,1,9.22,US,1631499242
245,Vila Velha,-20.3297,-40.2925,75.15,78,0,9.22,BR,1631499153
246,Mujiayingzi,42.1167,118.7833,65.62,79,100,5.19,CN,1631499242
247,Valparaíso,-33.0393,-71.6273,47.84,93,0,4.61,CL,1631499140
248,Tual,-5.6667,132.75,80.73,81,51,12.24,ID,1631499243
249,Batagay,67.6333,134.6333,57.24,40,100,2.75,RU,1631499243
250,Codrington,-38.2667,141.9667,54.79,65,68,15.75,AU,1631499243
251,Corinth,37.9407,22.9573,70.45,64,31,5.61,GR,1631499244
252,Tura,25.5198,90.2201,78.1,91,75,4.7,IN,1631499244
253,Tumsar,21.3833,79.7333,76.5,93,78,2.91,IN,1631499244
254,Zhezkazgan,47.8043,67.7144,49.48,33,7,5.39,KZ,1631499245
255,Linares,-35.85,-71.6,47.32,94,100,10.36,CL,1631499245
256,Departamento de Maldonado,-34.6667,-54.9167,61.99,96,85,1.05,UY,1631499146
257,Swan Hill,-35.3378,143.5544,60.06,33,6,14.99,AU,1631499246
258,Mayumba,-3.432,10.6554,74.43,92,93,4.07,GA,1631499246
259,Poya,-21.35,165.15,79.77,53,33,5.08,NC,1631499246
260,Ascension,30.2169,-90.9001,74.39,94,100,4.16,US,1631499247
261,Imbituba,-28.24,-48.6703,69.69,95,66,13.98,BR,1631499247
262,Ayan,56.45,138.1667,57.52,61,3,7.27,RU,1631499247
263,Northam,51.0333,-4.2167,59.05,95,100,5.88,GB,1631499248
264,Nakusp,50.2499,-117.8023,59.47,94,62,2.08,CA,1631499248
265,Chui,-33.6971,-53.4616,59.54,95,82,8.5,UY,1631499248
266,Boyolangu,-8.1181,111.8935,82.81,71,61,6.22,ID,1631499249
267,Empangeni,-28.762,31.8933,60.1,75,0,3.06,ZA,1631499249
268,Ixtlahuacán del Río,20.8667,-103.25,67.71,67,72,2.64,MX,1631499250
269,Antofagasta,-23.65,-70.4,56.48,74,100,7.16,CL,1631499009
270,Tigil',57.8,158.6667,49.05,48,12,2.71,RU,1631499250
271,Shache,38.4167,77.2406,69.96,34,27,6.96,CN,1631499251
272,Cervo,43.6702,-7.4101,60.19,81,100,2.19,ES,1631499251
273,Esperance,-33.8667,121.9,57.22,57,3,9.44,AU,1631499251
274,Laas,46.6166,10.7002,56.14,90,51,1.52,IT,1631499252
275,Turukhansk,65.8167,87.9833,47.16,86,100,10.33,RU,1631499252
276,Bodaybo,57.8506,114.1933,52.99,74,67,1.74,RU,1631499253
277,Kangaatsiaq,68.3065,-53.4641,35.85,70,100,17.83,GL,1631499253
278,Coyhaique,-45.5752,-72.0662,40.95,65,20,6.91,CL,1631499253
279,Dapaong,10.8639,0.205,72.77,90,25,5.17,TG,1631499254
280,Manado,1.487,124.8455,90.37,58,40,2.19,ID,1631499254
281,Lavrentiya,65.5833,-171.0,38.93,94,100,15.57,RU,1631499137
282,Eyl,7.9803,49.8164,77.63,69,37,23.76,SO,1631499255
283,Doha,25.2867,51.5333,89.58,62,0,6.91,QA,1631499124
284,Oblivskaya,48.5362,42.5014,56.57,70,37,4.97,RU,1631499255
285,Birao,10.2849,22.7882,69.35,98,100,1.9,CF,1631499255
286,Soyo,-6.1349,12.3689,73.15,88,36,3.47,AO,1631499256
287,Chapais,49.7834,-74.8492,47.62,90,100,11.14,CA,1631499256
288,Berlevåg,70.8578,29.0864,43.18,81,99,11.88,NO,1631499257
289,Saint-Pierre,-21.3393,55.4781,66.38,77,20,3.44,RE,1631499257
290,Mâncio Lima,-7.6142,-72.8958,78.12,74,100,2.46,BR,1631499257
291,Krasnogorsk,55.8225,37.3181,58.5,94,96,6.71,RU,1631499081
292,Ewo,-0.8725,14.8206,72.16,86,100,0.65,CG,1631499258
293,Baffa,34.4378,73.2194,69.3,74,0,4.45,PK,1631499258
294,Bulusan,12.7518,124.1373,84.83,70,100,4.61,PH,1631499259
295,Cidreira,-30.1811,-50.2056,65.12,92,20,18.19,BR,1631499259
296,Rassvet,46.8333,40.75,60.24,79,65,11.18,RU,1631499259
297,Gizo Government Station,-8.103,156.8419,84.43,68,34,5.55,SB,1631499260
298,Castro,-24.7911,-50.0119,63.16,75,0,4.43,BR,1631499260
299,Graham,47.0529,-122.2943,61.92,75,90,0.0,US,1631499260
300,Nebug,44.1714,39.0036,63.34,91,66,3.49,RU,1631499261
301,Berdigestyakh,62.0989,126.6992,62.92,50,37,6.31,RU,1631499261
302,Kavieng,-2.5744,150.7967,83.14,73,100,13.73,PG,1631499261
303,Hanyang,32.1371,105.5126,75.4,71,24,2.51,CN,1631499262
304,Kualakapuas,-3.0091,114.3876,80.76,68,86,4.0,ID,1631499262
305,Weligama,5.9667,80.4167,79.18,83,92,13.0,LK,1631499262
306,Waingapu,-9.6567,120.2641,84.96,62,65,8.12,ID,1631499263
307,Bone,51.9669,12.1396,56.73,88,41,5.66,DE,1631499263
308,Amet,25.3,73.9333,75.67,90,53,2.3,IN,1631499263
309,Samarai,-10.6167,150.6667,81.09,82,15,11.3,PG,1631499264
310,Kununurra,-15.7667,128.7333,91.38,38,5,4.61,AU,1631499264
311,Basco,20.4487,121.9702,83.88,79,89,14.38,PH,1631499265
312,Van Wert,40.8695,-84.5841,74.14,66,1,3.0,US,1631499265
313,Provideniya,64.3833,-173.3,41.11,75,90,20.13,RU,1631499265
314,Nome,64.5011,-165.4064,53.67,67,20,11.5,US,1631499266
315,Bela,25.9333,81.9833,81.45,85,69,5.3,IN,1631499266
316,Thinadhoo,0.5333,72.9333,83.43,72,100,6.96,MV,1631499266
317,Poltavka,54.3663,71.7632,41.97,80,6,12.82,RU,1631499267
318,Hanna,51.6334,-111.9018,54.79,79,99,8.5,CA,1631498992
319,Uribia,11.7139,-72.266,84.6,65,100,15.7,CO,1631499267
320,Progreso,21.2833,-89.6667,83.1,61,97,12.75,MX,1631499268
321,Pokhara,28.2333,83.9833,76.01,80,81,1.61,NP,1631499268
322,Mogocha,53.7333,119.7667,48.92,96,100,2.24,RU,1631499268
323,Rāvar,31.2656,56.8055,72.68,20,0,2.82,IR,1631499268
324,George Town,5.4112,100.3354,76.89,89,40,0.0,MY,1631499174
325,Huilong,31.8111,121.655,77.99,92,100,34.09,CN,1631499269
326,Tarbagatay,51.4803,107.3602,49.53,51,0,4.81,RU,1631499132
327,Meulaboh,4.1363,96.1285,77.97,79,93,4.5,ID,1631499269
328,Tsumeb,-19.2333,17.7167,67.19,19,0,8.41,NA,1631499270
329,Half Moon Bay,37.4636,-122.4286,66.06,84,20,18.41,US,1631499040
330,Buraidah,26.326,43.975,75.6,29,1,3.29,SA,1631499270
331,Tepeojuma,18.7167,-98.45,64.31,95,99,2.89,MX,1631499271
332,Uchaly,54.2996,59.4521,44.91,75,100,6.31,RU,1631499271
333,Roald,62.5833,6.1333,49.66,93,90,3.44,NO,1631499272
334,San Cristobal,7.7669,-72.225,73.58,96,48,2.08,VE,1631499124
335,Bhīkhi,30.0667,75.5333,77.86,79,52,5.26,IN,1631499272
336,Faya,18.3851,42.4509,59.52,39,12,2.04,SA,1631499273
337,Bonavista,48.6499,-53.1147,58.12,87,71,17.67,CA,1631499273
338,Puerto Ayacucho,5.6639,-67.6236,78.01,83,94,3.58,VE,1631499273
339,Pangnirtung,66.1451,-65.7125,33.13,71,5,10.02,CA,1631499274
340,Souillac,-20.5167,57.5167,66.36,79,43,19.51,MU,1631499274
341,Malartic,48.1335,-78.1328,50.83,78,100,5.73,CA,1631499275
342,Paita,-5.0892,-81.1144,64.51,85,18,12.75,PE,1631499275
343,Jiexiu,37.0244,111.9125,77.29,38,5,2.62,CN,1631499275
344,Aurillac,44.9167,2.45,55.0,79,63,3.31,FR,1631499276
345,Aksarka,66.5606,67.7975,39.52,72,100,17.16,RU,1631499276
346,Mikhaylov,54.2292,39.0186,58.59,68,86,6.93,RU,1631499276
347,Key West,24.5557,-81.7826,82.17,87,20,5.75,US,1631499018
348,Panjakent,39.4952,67.6093,58.8,33,0,0.83,TJ,1631499277
349,Mount Gambier,-37.8333,140.7667,52.84,67,100,9.24,AU,1631499277
350,Te Anau,-45.4167,167.7167,46.06,77,55,7.85,NZ,1631499277
351,Ratnagiri,16.9833,73.3,79.02,91,98,10.04,IN,1631499278
352,Río Gallegos,-51.6226,-69.2181,38.62,71,10,24.9,AR,1631499278
353,Ambanja,-13.6833,48.45,71.67,69,53,2.08,MG,1631499278
354,Westport,41.1415,-73.3579,74.8,81,90,4.0,US,1631499278
355,Port Lincoln,-34.7333,135.8667,55.76,53,100,11.45,AU,1631499279
356,Warrnambool,-38.3833,142.4833,57.81,61,35,16.44,AU,1631499279
357,Abdulino,53.7,53.6667,51.44,76,70,7.29,RU,1631499279
